StoreID,Location,No_of_items,Qty,Amount,Discount,Items_with_discount,Total_cost,Total_profit,Flag_loss_making,Orders_with_high_profit,Distinct_categories,Weekend_sales,Weekday_sale,Average_order_value,Average_profit_per_transaction,Average_profit_per_customer,Average_customer_visits,Average_rating_per_customer
ST101,Alwal,942,2263,333458.29,9734.00,831,291077.17,42381.12,N,0,14,74068.41,259389.88,157.22,19.98,19.98,NULL,4.00
ST102,Badepalle,1064,2895,566928.34,14867.00,1064,503123.81,63804.53,N,0,14,116372.56,450555.78,213.45,24.02,24.02,NULL,4.00
ST103,Akkarampalle,7784,27028,3233039.26,94067.00,7981,2761221.32,471817.94,N,1,14,700776.88,2532262.38,132.34,19.31,19.32,NULL,4.00
ST106,Anakapalle,1473,4167,693097.24,23559.00,1792,599890.05,93207.19,N,0,14,142075.43,551021.81,179.61,24.15,24.15,NULL,4.00
ST110,Sarkhej-Okaf,401,1428,369458.05,7823.00,527,335166.06,34291.99,N,0,14,76171.52,293286.53,288.86,26.81,26.81,NULL,4.00
ST112,Eddumailaram,559,1517,192006.27,6904.00,560,160368.07,31638.20,N,0,14,38100.12,153906.15,143.50,23.65,23.65,NULL,4.00
ST116,Farooqnagar,622,2235,263922.92,10533.00,916,219887.61,44035.31,N,0,14,55485.15,208437.77,127.62,21.29,21.29,NULL,4.00
ST118,Anantapur,1080,3232,381612.97,12691.00,1150,321097.97,60515.00,N,0,14,73965.43,307647.54,125.65,19.93,19.93,NULL,4.00
ST120,Adoni,627,1832,347407.29,9728.00,695,305429.07,41978.22,N,0,14,59921.19,287486.10,204.60,24.72,24.72,NULL,4.00
ST125,Bestavaripeta,820,2894,513075.07,14272.00,1142,451936.82,61138.25,N,1,14,98183.63,414891.44,196.43,23.41,23.41,NULL,4.00
ST129,Bellampalle,578,2295,355025.06,10702.00,853,309993.88,45031.18,N,0,14,71822.99,283202.07,166.60,21.13,21.13,NULL,4.00
ST130,Eluru,554,1745,242311.80,9192.00,775,204418.24,37893.56,N,0,14,61983.72,180328.08,149.02,23.30,23.30,NULL,4.00
ST132,Bheemavaram,821,3814,383016.29,14397.00,1368,319405.10,63611.19,N,0,14,80586.15,302430.14,110.47,18.35,18.35,NULL,4.00
ST133,Nagari,546,1274,217982.89,6030.00,448,192617.09,25365.80,N,0,14,41310.16,176672.73,190.71,22.19,22.19,NULL,4.00
ST135,Pithora,425,1113,193189.45,7110.00,515,164375.66,28813.79,N,0,14,43085.90,150103.55,185.76,27.71,27.71,NULL,4.00
ST138,Ponnur,438,1702,229259.25,6854.00,639,199942.90,29316.35,N,0,13,46244.64,183014.61,145.10,18.55,18.57,NULL,4.00
ST143,Tarsali,2380,7623,821036.81,35914.00,3189,673900.61,147136.20,N,0,14,167208.12,653828.69,117.64,21.08,21.09,NULL,3.00
ST144,Madanapalle,782,1683,328421.49,6084.00,550,297667.52,30753.97,N,0,14,56918.43,271503.06,204.75,19.17,19.17,NULL,4.00
ST166,Kapas Hera,409,929,213894.68,6802.00,412,189573.89,24320.79,N,0,14,44332.10,169562.58,252.23,28.68,28.68,NULL,4.00
ST167,Chirala,1075,3287,451192.78,14481.00,1210,389636.27,61556.51,N,0,13,94283.71,356909.07,150.90,20.59,20.59,NULL,4.00
ST177,Adilabad,498,1513,196094.76,5598.00,472,166967.64,29127.12,N,0,14,41456.10,154638.66,142.72,21.20,21.20,NULL,4.00
ST180,Vijayawada,544,2333,423271.73,17413.00,1083,350224.59,73047.14,N,0,13,83425.49,339846.24,219.43,37.87,37.87,NULL,3.00
ST186,Siddipet,703,3223,356210.45,11500.00,1039,296131.29,60079.16,N,0,14,70961.83,285248.62,125.60,21.18,21.18,NULL,4.00
ST188,Kharsia,561,1391,237550.71,6386.00,463,208148.27,29402.44,N,0,14,37498.45,200052.26,186.17,23.04,23.04,NULL,4.00
ST199,Libas Pur,552,1402,208314.25,6131.00,509,181980.16,26334.09,N,0,14,42262.81,166051.44,158.41,20.03,20.03,NULL,4.00
ST218,Kallur,492,3091,372441.93,14789.00,1217,306341.56,66100.37,N,0,14,79522.27,292919.66,145.83,25.88,25.88,NULL,4.00
ST230,Dommara Nandyal,585,1271,217386.35,7328.00,539,188997.04,28389.31,N,0,14,48494.09,168892.26,186.28,24.33,24.33,NULL,4.00
ST233,Bobbili,461,1189,214048.64,6049.00,374,186813.28,27235.36,N,1,13,50235.04,163813.60,206.61,26.29,26.29,NULL,4.00
ST253,Mahendragarh,710,1880,215490.48,7761.00,651,180821.49,34668.99,N,0,13,47074.91,168415.57,122.37,19.69,19.69,NULL,4.00
ST301,Chatakonda,641,1505,327702.11,6381.00,504,298180.96,29521.15,N,0,13,64319.40,263382.71,234.07,21.09,21.09,NULL,4.00
